0　step, RMSE train (mean, high, low) : 0.03059345767599913, 0.03447938400965817, 0.034540732219127186
0　step, RMSE test (mean, high, low) : 0.030148384218071887 , 0.036847807998890474 , 0.02865195852458573
1　step, RMSE train (mean, high, low) : 0.033927587896722684, 0.0370118193728835, 0.03870147488311351
1　step, RMSE test (mean, high, low) : 0.03215712736070732 , 0.03970940583508437 , 0.03094044058268385
2　step, RMSE train (mean, high, low) : 0.039239304117536025, 0.04153891576634209, 0.043986580488301064
2　step, RMSE test (mean, high, low) : 0.03771165885588861 , 0.04434583136965172 , 0.035710334159349585
3　step, RMSE train (mean, high, low) : 0.04280195014889159, 0.045352585021724956, 0.04596349073257083
3　step, RMSE test (mean, high, low) : 0.044560493850055914 , 0.05067322772470947 , 0.04230073062285612
4　step, RMSE train (mean, high, low) : 0.04847582576769146, 0.05105395867429739, 0.05095232001819444
4　step, RMSE test (mean, high, low) : 0.049211848829440824 , 0.05516419015034144 , 0.04627545254366972
5　step, RMSE train (mean, high, low) : 0.0546248376271423, 0.055946831735273574, 0.05836947493570493
5　step, RMSE test (mean, high, low) : 0.052204509207554955 , 0.0592133549355155 , 0.04835926536502278
6　step, RMSE train (mean, high, low) : 0.0596183924525924, 0.060701580836805505, 0.06373036827108891
6　step, RMSE test (mean, high, low) : 0.05486343855417145 , 0.06227120092275102 , 0.05008534076103634
7　step, RMSE train (mean, high, low) : 0.06821604279196604, 0.06981763621908217, 0.07093343033733546
7　step, RMSE test (mean, high, low) : 0.062366579936418455 , 0.07160530604436088 , 0.056447156474130324
8　step, RMSE train (mean, high, low) : 0.07384239650472216, 0.0747883824662525, 0.07699135058724443
8　step, RMSE test (mean, high, low) : 0.06778611286827481 , 0.07591384698720458 , 0.061879801848798745
9　step, RMSE train (mean, high, low) : 0.08365831335821432, 0.08480058461427764, 0.08643584871331185
9　step, RMSE test (mean, high, low) : 0.07666196852168569 , 0.08527050188901483 , 0.07054552817619908
