0　step, RMSE train (mean, high, low) : 0.058876894026247115, 0.07962625189786, 0.07651573358131598
0　step, RMSE test (mean, high, low) : 0.05614750571451277 , 0.07115627993273305 , 0.07879182153501091
1　step, RMSE train (mean, high, low) : 0.12078500733696768, 0.12837720511632117, 0.12945597573416964
1　step, RMSE test (mean, high, low) : 0.11329127401118007 , 0.11926484586872498 , 0.12433133343766445
2　step, RMSE train (mean, high, low) : 0.1593596576574841, 0.16343493995300357, 0.16498870786074862
2　step, RMSE test (mean, high, low) : 0.15807431852260076 , 0.16063406508959915 , 0.16470080817106394
3　step, RMSE train (mean, high, low) : 0.16395810181908213, 0.16751949386949783, 0.16848368577616862
3　step, RMSE test (mean, high, low) : 0.16243834663511497 , 0.1655623066243222 , 0.16674209560295536
4　step, RMSE train (mean, high, low) : 0.17282842908739812, 0.174568990341539, 0.17763787417099777
4　step, RMSE test (mean, high, low) : 0.16882871774739477 , 0.17044761254433077 , 0.17347722788835968
5　step, RMSE train (mean, high, low) : 0.17439997407598234, 0.17752551308279305, 0.17811877943079435
5　step, RMSE test (mean, high, low) : 0.16950382027826896 , 0.17255784434463525 , 0.17302782738606845
6　step, RMSE train (mean, high, low) : 0.17588494698465967, 0.17895795502029666, 0.17893646207522607
6　step, RMSE test (mean, high, low) : 0.1748510412642852 , 0.17734878158681713 , 0.17830183661938104
7　step, RMSE train (mean, high, low) : 0.1779899568746452, 0.18036751871584478, 0.1804840700970467
7　step, RMSE test (mean, high, low) : 0.17586972224282885 , 0.17782552236645238 , 0.17867660383662604
8　step, RMSE train (mean, high, low) : 0.17830698321756847, 0.1808008568390793, 0.18110167983872716
8　step, RMSE test (mean, high, low) : 0.1759886136805036 , 0.177711904735789 , 0.17947560970050058
9　step, RMSE train (mean, high, low) : 0.178744869636356, 0.18278004877903412, 0.18233182390515795
9　step, RMSE test (mean, high, low) : 0.17428715416227117 , 0.17668941632785054 , 0.1790804505601179
