0　step, RMSE train (mean, high, low) : 0.009813372202797922, 0.013564451323492639, 0.012600972124241314
0　step, RMSE test (mean, high, low) : 0.010021013268727324 , 0.013757830616998474 , 0.012722025570626216
1　step, RMSE train (mean, high, low) : 0.01596024601650763, 0.017755617099679284, 0.01859263503334406
1　step, RMSE test (mean, high, low) : 0.015960759007579362 , 0.017832974578878412 , 0.018507802432173533
2　step, RMSE train (mean, high, low) : 0.022714241200722823, 0.02620908865780414, 0.02497878229985945
2　step, RMSE test (mean, high, low) : 0.022701322646772035 , 0.026391574137530367 , 0.024812016937297062
3　step, RMSE train (mean, high, low) : 0.02945199622688569, 0.030803238747193762, 0.030594826312216095
3　step, RMSE test (mean, high, low) : 0.029427692735123984 , 0.030933527385406112 , 0.030407630246993035
4　step, RMSE train (mean, high, low) : 0.03845653983520928, 0.039632543247864874, 0.039822986882659436
4　step, RMSE test (mean, high, low) : 0.03842064845462224 , 0.03972645243281793 , 0.039619733171498916
5　step, RMSE train (mean, high, low) : 0.04478717243669922, 0.04554987192704656, 0.045865339280124075
5　step, RMSE test (mean, high, low) : 0.044851880698807835 , 0.04583446783683883 , 0.04567613164241836
6　step, RMSE train (mean, high, low) : 0.05020893989007129, 0.051513779666198876, 0.050638677864815455
6　step, RMSE test (mean, high, low) : 0.05037252778291603 , 0.051877307880345794 , 0.050612919727681116
7　step, RMSE train (mean, high, low) : 0.05520939963456732, 0.0565673243406704, 0.05643291057703376
7　step, RMSE test (mean, high, low) : 0.055578059190592 , 0.0571802817706524 , 0.05652482518699247
8　step, RMSE train (mean, high, low) : 0.06030128104893671, 0.06118419278911853, 0.06049402885883799
8　step, RMSE test (mean, high, low) : 0.06094794082447952 , 0.06203080569403465 , 0.06091156565760301
9　step, RMSE train (mean, high, low) : 0.062330147992285645, 0.06382120067932194, 0.06327716453903073
9　step, RMSE test (mean, high, low) : 0.06316016167150318 , 0.0649194267968022 , 0.06386210341626286
